;duration;entry_mode;has_path;source;start_time;total_calories;total_distance;tracking_mode;type;uri;utc_offset
13;37,6;API;VERDADEIRO;RunKeeper;ter, 28 ago 2018 16:47:58;251;7462,76;outdoor;Cycling;/fitnessActivities/1220371653;-3
14;28,9;API;VERDADEIRO;RunKeeper;ter, 28 ago 2018 10:00:13;229;7871,26;outdoor;Cycling;/fitnessActivities/1220167250;-3
15;25,72;API;VERDADEIRO;RunKeeper;sex, 24 ago 2018 7:58:25;205;7936,99;outdoor;Cycling;/fitnessActivities/1218036090;-3
16;26,78;API;VERDADEIRO;RunKeeper;qui, 23 ago 2018 14:13:13;202;7052,72;outdoor;Cycling;/fitnessActivities/1217721948;-3
17;24,22;API;VERDADEIRO;RunKeeper;qui, 23 ago 2018 7:52:33;197;7957,77;outdoor;Cycling;/fitnessActivities/1217721945;-3
18;74,45;API;VERDADEIRO;RunKeeper;sex, 17 ago 2018 15:40:24;602;20371,78;outdoor;Cycling;/fitnessActivities/1217721941;-3
19;21,22;API;VERDADEIRO;RunKeeper;sex, 17 ago 2018 7:12:26;195;7527,06;outdoor;Cycling;/fitnessActivities/1217721937;-3
20;30,17;API;VERDADEIRO;RunKeeper;qui, 16 ago 2018 16:28:17;230;8057,81;outdoor;Cycling;/fitnessActivities/1213990570;-3
21;24,68;API;VERDADEIRO;RunKeeper;qui, 16 ago 2018 7:15:48;210;7984,09;outdoor;Cycling;/fitnessActivities/1213980180;-3
22;34,78;API;VERDADEIRO;RunKeeper;ter, 14 ago 2018 13:33:37;248;8341,23;outdoor;Cycling;/fitnessActivities/1212813981;-3
23;26,78;API;VERDADEIRO;RunKeeper;ter, 14 ago 2018 7:17:28;209;7893,42;outdoor;Cycling;/fitnessActivities/1212783052;-3
24;38,92;API;VERDADEIRO;RunKeeper;sex, 10 ago 2018 17:56:41;248;8177,41;outdoor;Cycling;/fitnessActivities/1212783048;-3
25;25,65;API;VERDADEIRO;RunKeeper;sex, 10 ago 2018 7:33:52;211;7909,33;outdoor;Cycling;/fitnessActivities/1210777044;-3
26;34,43;API;VERDADEIRO;RunKeeper;qui, 9 ago 2018 15:33:08;244;8353,29;outdoor;Cycling;/fitnessActivities/1210271843;-3
27;31,32;API;VERDADEIRO;RunKeeper;qui, 9 ago 2018 6:52:02;236;7552,43;outdoor;Cycling;/fitnessActivities/1210256071;-3
28;30,07;API;VERDADEIRO;RunKeeper;qua, 8 ago 2018 12:57:06;224;7935,05;outdoor;Cycling;/fitnessActivities/1209661383;-3
29;25,65;API;VERDADEIRO;RunKeeper;qua, 8 ago 2018 6:48:45;204;7917,25;outdoor;Cycling;/fitnessActivities/1209647123;-3
30;29,6;API;VERDADEIRO;RunKeeper;ter, 7 ago 2018 16:46:05;204;7051,16;outdoor;Cycling;/fitnessActivities/1209473345;-3
31;29,88;API;VERDADEIRO;RunKeeper;ter, 7 ago 2018 7:47:31;230;7941,39;outdoor;Cycling;/fitnessActivities/1209473340;-3
32;34,85;API;VERDADEIRO;RunKeeper;qui, 2 ago 2018 17:54:52;246;8158,04;outdoor;Cycling;/fitnessActivities/1209473334;-3
33;24,17;API;VERDADEIRO;RunKeeper;qui, 2 ago 2018 7:37:22;203;7946,08;outdoor;Cycling;/fitnessActivities/1206631817;-3
34;28,83;API;VERDADEIRO;RunKeeper;qua, 1 ago 2018 14:08:38;221;7936,62;outdoor;Cycling;/fitnessActivities/1206016406;-3
35;21,98;API;VERDADEIRO;RunKeeper;qua, 1 ago 2018 8:16:14;203;7942,69;outdoor;Cycling;/fitnessActivities/1206016395;-3
36;25,92;API;VERDADEIRO;RunKeeper;ter, 31 jul 2018 16:12:23;201;7091,2;outdoor;Cycling;/fitnessActivities/1205520224;-3
37;24,53;API;VERDADEIRO;RunKeeper;ter, 31 jul 2018 7:14:04;213;7919,78;outdoor;Cycling;/fitnessActivities/1205506700;-3
38;32,57;API;VERDADEIRO;RunKeeper;qui, 26 jul 2018 17:46:15;240;7930,54;outdoor;Cycling;/fitnessActivities/1203056263;-3
39;22,88;API;VERDADEIRO;RunKeeper;qui, 26 jul 2018 8:33:13;199;7916,7;outdoor;Cycling;/fitnessActivities/1203056249;-3
40;41,43;API;VERDADEIRO;RunKeeper;qua, 25 jul 2018 13:47:13;331;8375,28;outdoor;Cycling;/fitnessActivities/1202487043;-3
41;23,77;API;VERDADEIRO;RunKeeper;qua, 25 jul 2018 7:57:42;201;7956,04;outdoor;Cycling;/fitnessActivities/1202456675;-3
42;25,83;API;VERDADEIRO;RunKeeper;ter, 24 jul 2018 15:00:24;176;5253,84;outdoor;Cycling;/fitnessActivities/1201964782;-3
43;25,33;API;VERDADEIRO;RunKeeper;sex, 20 jul 2018 12:47:04;182;5713,2;outdoor;Cycling;/fitnessActivities/1201950707;-3
